density, u velocity, v velocity, pressure, Mach, Temperature, x_points, y_points, z_points
0.0810578, 887.857, 121.772, 6076.97, 2.76618, 261.222, 2.47525e-06, 4.9749e-07, 0.0
0.121365, 880.242, 60.8295, 10197.7, 2.57258, 292.77, 2.47525e-06, 1.49655e-06, 0.0
0.125984, 865.395, 28.1405, 11025.3, 2.47367, 304.924, 2.47525e-06, 2.5038e-06, 0.0
0.122559, 862.662, 18.3884, 10768.8, 2.46017, 306.152, 2.47525e-06, 3.51931e-06, 0.0
0.120433, 863.548, 12.3463, 10523.1, 2.46926, 304.45, 2.47525e-06, 4.54315e-06, 0.0
0.11904, 864.816, 8.18784, 10347.2, 2.47921, 302.866, 2.47525e-06, 5.57538e-06, 0.0
0.118076, 865.8, 5.34513, 10227.3, 2.48635, 301.799, 2.47525e-06, 6.61608e-06, 0.0
0.117415, 866.496, 3.43908, 10147, 2.49114, 301.116, 2.47525e-06, 7.66531e-06, 0.0
0.11697, 866.977, 2.1841, 10094.1, 2.4943, 300.685, 2.47525e-06, 8.72314e-06, 0.0
0.116675, 867.306, 1.37062, 10059.6, 2.49636, 300.415, 2.47525e-06, 9.78965e-06, 0.0
0.116482, 867.53, 0.850429, 10037.4, 2.4977, 300.248, 2.47525e-06, 1.08649e-05, 0.0
0.116357, 867.68, 0.52184, 10023.2, 2.49855, 300.146, 2.47525e-06, 1.1949e-05, 0.0
0.116277, 867.781, 0.316646, 10014.3, 2.4991, 300.084, 2.47525e-06, 1.30419e-05, 0.0
0.116226, 867.847, 0.189928, 10008.7, 2.49944, 300.048, 2.47525e-06, 1.41438e-05, 0.0
0.116195, 867.891, 0.112541, 10005.2, 2.49966, 300.027, 2.47525e-06, 1.52548e-05, 0.0
0.116175, 867.92, 0.0658185, 10003.1, 2.49979, 300.014, 2.47525e-06, 1.63749e-05, 0.0
0.116162, 867.939, 0.0379463, 10001.8, 2.49987, 300.007, 2.47525e-06, 1.75041e-05, 0.0
0.116155, 867.951, 0.0215311, 10001.1, 2.49992, 300.004, 2.47525e-06, 1.86426e-05, 0.0
0.11615, 867.959, 0.0119973, 10000.6, 2.49996, 300.002, 2.47525e-06, 1.97905e-05, 0.0
0.116148, 867.963, 0.0065449, 10000.3, 2.49997, 300.001, 2.47525e-06, 2.09477e-05, 0.0
0.116146, 867.967, 0.00348045, 10000.2, 2.49998, 300, 2.47525e-06, 2.21145e-05, 0.0
0.116145, 867.969, 0.00179241, 10000.1, 2.49999, 300, 2.47525e-06, 2.32908e-05, 0.0
0.116145, 867.97, 0.000884551, 10000.1, 2.49999, 300, 2.47525e-06, 2.44767e-05, 0.0
0.116144, 867.971, 0.00041052, 10000, 2.5, 300, 2.47525e-06, 2.56724e-05, 0.0
0.116144, 867.971, 0.000172338, 10000, 2.5, 300, 2.47525e-06, 2.68779e-05, 0.0
0.116144, 867.971, 5.89064e-05, 10000, 2.5, 300, 2.47525e-06, 2.80933e-05, 0.0
0.116144, 867.972, 9.1932e-06, 10000, 2.5, 300, 2.47525e-06, 2.93186e-05, 0.0
0.116144, 867.972, -9.47949e-06, 10000, 2.5, 300, 2.47525e-06, 3.0554e-05, 0.0
0.116144, 867.972, -1.40571e-05, 10000, 2.5, 300, 2.47525e-06, 3.17995e-05, 0.0
0.116144, 867.972, -1.29629e-05, 10000, 2.5, 300, 2.47525e-06, 3.30553e-05, 0.0
0.116144, 867.972, -1.0138e-05, 10000, 2.5, 300, 2.47525e-06, 3.43213e-05, 0.0
0.116144, 867.972, -7.25489e-06, 10000, 2.5, 300, 2.47525e-06, 3.55977e-05, 0.0
0.116144, 867.972, -4.8964e-06, 10000, 2.5, 300, 2.47525e-06, 3.68846e-05, 0.0
0.116144, 867.972, -3.16321e-06, 10000, 2.5, 300, 2.47525e-06, 3.8182e-05, 0.0
0.116144, 867.972, -1.97179e-06, 10000, 2.5, 300, 2.47525e-06, 3.949e-05, 0.0
0.116144, 867.972, -1.19123e-06, 10000, 2.5, 300, 2.47525e-06, 4.08088e-05, 0.0
0.116144, 867.972, -6.99028e-07, 10000, 2.5, 300, 2.47525e-06, 4.21384e-05, 0.0
0.116144, 867.972, -3.98671e-07, 10000, 2.5, 300, 2.47525e-06, 4.34789e-05, 0.0
0.116144, 867.972, -2.20795e-07, 10000, 2.5, 300, 2.47525e-06, 4.48304e-05, 0.0
0.116144, 867.972, -1.18455e-07, 10000, 2.5, 300, 2.47525e-06, 4.6193e-05, 0.0
0.116144, 867.972, -6.12768e-08, 10000, 2.5, 300, 2.47525e-06, 4.75668e-05, 0.0
0.116144, 867.972, -3.03161e-08, 10000, 2.5, 300, 2.47525e-06, 4.89518e-05, 0.0
0.116144, 867.972, -1.41337e-08, 10000, 2.5, 300, 2.47525e-06, 5.03482e-05, 0.0
0.116144, 867.972, -6.02744e-09, 10000, 2.5, 300, 2.47525e-06, 5.1756e-05, 0.0
0.116144, 867.972, -2.18504e-09, 10000, 2.5, 300, 2.47525e-06, 5.31753e-05, 0.0
0.116144, 867.972, -5.0413e-10, 10000, 2.5, 300, 2.47525e-06, 5.46063e-05, 0.0
0.116144, 867.972, 1.3626e-10, 10000, 2.5, 300, 2.47525e-06, 5.60491e-05, 0.0
0.116144, 867.972, 3.11056e-10, 10000, 2.5, 300, 2.47525e-06, 5.75037e-05, 0.0
0.116144, 867.972, 3.0108e-10, 10000, 2.5, 300, 2.47525e-06, 5.89701e-05, 0.0
0.116144, 867.972, 2.34478e-10, 10000, 2.5, 300, 2.47525e-06, 6.04487e-05, 0.0
0.116144, 867.972, 1.63869e-10, 10000, 2.5, 300, 2.47525e-06, 6.19393e-05, 0.0
0.116144, 867.972, 1.0681e-10, 10000, 2.5, 300, 2.47525e-06, 6.34422e-05, 0.0
0.116144, 867.972, 6.62385e-11, 10000, 2.5, 300, 2.47525e-06, 6.49574e-05, 0.0
0.116144, 867.972, 3.94362e-11, 10000, 2.5, 300, 2.47525e-06, 6.6485e-05, 0.0
